"inv_num","add_credit","url","title","year","display_year","medium","dims","pitch","ps","live_url","youtube","related_code","subheading","download","commission","related"
"2017-030","Olia Lialina","2017-030-arcangel-surfware-webmaster-summer-flip-flops","Arcangel Surfware / Webmaster Summer Flip-Flops",2017,2017,"Flip-flop sandals",,,,,,,,,,"[4385] [2017-029-arcangel-surfware-webmaster-summer-beach-towel] 2017-029 Arcangel Surfware / Webmaster Summer Beach Towel"
"2017-029","Olia Lialina","2017-029-arcangel-surfware-webmaster-summer-beach-towel","Arcangel Surfware / Webmaster Summer Beach Towel",2017,2017,"Beach towel with dye-sublimated digital graphic","58 x 28 in",,,,,,,,,"[4386] [2017-030-arcangel-surfware-webmaster-summer-flip-flops] 2017-030 Arcangel Surfware / Webmaster Summer Flip-Flops"
"2017-028",,"2017-028-various-gift-cards-triptych","Various Gift Cards Triptych",2017,2017,"Inkjet print on paper","11 x 25.5 in",,,,,,,,,
"2017-026",,"2017-026-what-a-great-idea","What a Great Idea It Is (on the work and life of Tony Conrad)",2017,2017,"Essay",,,,,,,,"great-idea-2017-026-pdf-ih.pdf",,
"2017-023",,"2017-023-three-stripes","Three stripes",2017,2017,"Inkjet on canvas (x3)","108 x 36 in",,,,,,,,,
"2017-020","Olia Lialina. Design by Manuel Berger! ","2017-020-asymmetrical-response","Asymmetrical Response ",2018,2018,"120 page book, CD, script, plastic LP sleeve.   ","30 x 30 cm","MASSIVE CATALOG 4 MASSIVE SHOW",,,,,"(Catalog)",,,"[4380] [2017-004-asymmetrical-response-reader-srf-039] 2017-004 Asymmetrical Response Reader: The Kitchen (SRF-039)
[4390] [2017-041-asymmetrical-response-reader-ibiza] 2017-041 Asymmetrical Response Reader: Ibiza (SRF-041)"
"2017-016",,"2017-016-photoshop-cs","Photoshop CS: 84 by 144 inches, 300 DPI, RGB, square pixels, default gradient ""Spectrum"", mousedown y=11000, x=43200, mouseup y=11000, x=14400; tool ""Wand"", select y= 1000,  x=8000, tolerance=95, contiguous=on; default gradient ""Spectrum"", mousedown y=25200, x=6500, mouseup y=0, x=6500",2017,2017,"Chromogenic print","84 x 144 in",,,,,,,,,
"2017-005",,"2017-005-dunk","Dunk",2017,2017,"Mac mini running ray composer, kvant clubmax 800 laser projector",,,,,,,,,,
"2017-004","Olia Lialina","2017-004-asymmetrical-response-reader-srf-039","Asymmetrical Response Reader: The Kitchen (SRF-039)",2017,2017,"Black tape bound booklet, hand-embossed with the Arcangel Surfware Yin-Yang Crest.",,,,,,,,,,"[4390] [2017-041-asymmetrical-response-reader-ibiza] 2017-041 Asymmetrical Response Reader: Ibiza (SRF-041)"
"2017-001",,"2017-001-call-of-duty","Call of Duty",2017,2017,"Foam pool noodles, power strip, LED USB cable, USB wristband, Call of Duty wristband, wire wraps, wire organizers, socks","Dimensions variable","Webmaster pool noodle.&nbsp;","The work that started the trade that started Olia&nbsp;",,,,,,,
"2016-117",,"2016-117-dump-bin","Dump Bin",2016,2016,"Palay Display Industries folding dump table, various DVDs",,,,,,,,,,"[4173] [2014-121-room-for-squares] 2014-121 Room for Squares"
"2016-110",,"2016-110-currentmood","currentmood",2016,2016,"Audio file",,,,"https://soundcloud.com/coryarcangel/currentmood",,,"(Audio)",,,
"2016-104",,"2016-104-jeans-lakes","Jeans / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2016-102",,"2016-102-jeans-lakes","Jeans / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2016-101",,"2016-101-jeans-lakes","Jeans / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2016-100",,"2016-100-jeans-lakes","Jeans / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables",,,,,,,,,,
"2016-097",,"2016-097-imgres","Imgres",2016,2016,"Chromogenic print","66 x 37.5 in",,,,,,,,,
"2016-084",,"2016-084-arcangel-surfware-white-slides-srf-037","Fuck Negativity White Slides (SRF-037)",2016,2016,"Slides",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2016-079",,"2016-079-fuck-negativity-white-t-shirt-srf-034","Fuck Negativity White T-Shirt (SRF-034)",2016,2016,"T-shirt",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2016-078",,"2016-078-fuck-negativity-white-hoodie-srf-035","Fuck Negativity White Hoodie (SRF-035)",2016,2016,"Hoodie",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2016-077",,"2016-077-fuck-negativity-white-sweatpants","Fuck Negativity Sweatpants (SRF-036)",2016,2016,"Sweatpants",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2016-076",,"2016-076-currentmood","currentmood (Triple Canopy Edition) ",2017,2017,"Set of five pigmented inkjet prints on canvas in custom box","40"" × 24"" x 1"" (each canvas); 41"" × 25"" × 9"" (box) ","Box I made 4 Triple Canopy (I wz on the board for many year FYI). Kinda a show in a box.",,,,,,,,
"2016-069",,"2016-069-dump-bin","Dump Bin",2016,2016,"Palay Display Industries folding dump table, various DVDs ","30.75 x 47 x 24 in",,,,,,,,,
"2016-068",,"2016-068-dump-bin","Dump Bin",2016,2016,"Palay Display Industries folding dump table, various DVDs ","30.75 x 47 x 24 in",,,,,,,,,
"2016-067",,"2016-067-dump-bin","Dump Bin",2016,2016,"Palay Display Industries folding dump table, various DVDs ","30.75 x 47 x 24 in",,,,,,,,,
"2016-061",,"2016-061-the-source-digest-srf-038","The Source Digest (SRF-038)",2016,2016,"Paperback",,,,,,,,"the-source-digest-2016-061-digital-master-ih.pdf",,
"2016-060",,"2016-060-wtf","WTF (on the work of Seth Price)",2016,2016,"Essay",,"Short essay on Seth Prices wrk, published in Seth Price: Social Synthetic :)",,,,,,"wtf-2016-060-digital-master-ih.pdf",,
"2016-058",,"2016-058-dump-bin-with-slides","Dump Bin with slides",2016,2016,"Palay Display Industries folding dump table, Fuck Negativity Slides (SRF-032)","30.75 x 47 x 24 in",,,,,,,,,"[4305] [2015-164-fuck-negativity-slides-srf-032] 2015-164 Fuck Negativity Slides (SRF-032)"
"2016-057",,"2016-057photoshop-cs","Photoshop CS: 65 by 36.5 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"", mousedown y=4460 x=8400, mouseup y=4460 x=4430",2016,2016,"Chromogenic print","65 x 36.5 in",,,,,,,,,
"2016-056",,"2016-056-love-pink","love pink",2016,2016,"Inkjet on Angelica Universal Photomatte 230","168 x 95.8 x 4 cm",,,,,,,,,
"2016-055",,"2016-055-climacool","climacool",2016,2016,"Inkjet on Angelica Universal Photomatte 230","168 x 95.8 x 4 cm",,,,,,,,,
"2016-054",,"2016-054-currentmood","currentmood",2016,2016,"MacBook Air running Ableton Live & Native Instruments Massive synth, hanging line array public address sound system","Dimensions variable",,,"https://soundcloud.com/coryarcangel/currentmood",,,"(Sculpture)",,,
"2016-052",,"2016-052-more-to-explore","More to Explore",2016,2016,"Jpeg, ad copy, online content discovery platform, promoted content ad buy platform","Dimensions variable","​Outbrain ad campaign 4 exhibition.&nbsp;",,,,,,,,
"2016-036",,"2016-036-photoshop-cs","Photoshop CS: 65 by 36.5 inches, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"", mousedown y=5000 x=2800, mouseup y=5000 x=10180",2016,2016,"Chromogenic print","65 x 36.5 in",,,,,,,,,
"2016-035",,"2016-035-dawgs-lakes","Dawgs / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables","Dimensions variable",,,,,,,,,
"2016-034",,"2016-034-ibiza-lakes","Ibiza / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables","Dimensions variable",,,,,,,,,
"2016-033",,"2016-033-mig-29-soviet-fighter-plane-clouds-and-os-x","Mig 29 Soviet Fighter Plane, Clouds, and OS X",2016,2016,"Mig 29 Soviet Fighter Plane and Clouds (2005) Nintendo Entertainment System .nes Roms, Macmini running OS X, Nintendo emulator (Open Emu), variable multi-channel presentation","Dimensions variable",,,,,,,,,
"2016-030",,"2016-030-rbf","RBF",2016,2016,"Inkjet on Angelica Universal Photomatte 230","168 x 95.8 x 4 cm",,,,,,,,,
"2016-025",,"2016-025-manson","Manson",2016,2016,"Inkjet on Angelica Universal Photomatte 230","168 x 95.8 x 4 cm",,,,,,,,,
"2016-021",,"2016-021-brooklyn-20110811-00159","Brooklyn 20110811-00159",2016,2016,"Chromogenic print","168 x 95.8 x 4 cm",,,,,,,,,
"2016-019",,"2016-019-30-pour","30 pour",2016,2016,"Chromogenic print","168 x 95.8 x 4 cm",,,,,,,,,
"2016-018",,"2016-018-hank","Hank",2016,2016,"Chromogenic print","168 x 95.8 x 4 cm",,,,,,,,,
"2016-009",,"2016-009-line","Line",2016,2016,"Pencil on paper (produced with Mutoh XP-300 Series printer)","36 x 72 in",,,,,,,,,
"2016-007",,"2016-007-photoshop-cs","Photoshop CS: 70 by 70 inches, 300 DPI, RGB, square pixels, default gradient ""Spectrum"", mousedown y=1000 x=1000, mouseup y=1000 x=20000; tool ""Wand"", select y=4120, x=1800, tolerance=64, contiguous= off; default gradient ""Spectrum"", mousedown y=300 x=1000, mouseup y=20700 x=1000",2016,2016,"Chromogenic print","70 x 70 in",,,,,,,,,
"2015-164",,"2015-164-fuck-negativity-slides-srf-032","Fuck Negativity Slides (SRF-032)",2015,2015,"Slides",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2015-162",,"2015-162-fuck-negativity-dog-tags-srf-030","Fuck Negativity Dog Tags (SRF-030)",2015,2015,"Dog tags ...",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2015-159",,"2015-159-fuck-negativity-sweatpants-srf-027","Fuck Negativity Sweatpants (SRF-027)",2015,2015,"Sweats",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2015-158",,"2015-158-fuck-negativity-hoodie-srf-026","Fuck Negativity Hoodie (SRF-026)",2015,2015,"Hoodie",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2015-157",,"2015-157-fuck-negativity-t-shirt-srf-025","Fuck Negativity T-Shirt (SRF-025)",2015,2015,"Tee",,,,,,,,,,"[4277] [2014-088-going-negative-lakes] 2014-088 Going Negative / Lakes"
"2015-095","Tony Conrad. Editing, copy-editing & transcription Cory Arcangel, Gil Gentile, Elliot Kaufman, Amanda Schmidt  Archival programming & data manipulation Henry Van Dusen  Archival audio services George Blood, L.P.  Mastering Jon Cohrs at Spleenless Mastering  Web programming & design Familiar Studio  Special thanks for their support Greene Naftali Gallery and Galerie Buchholz","2015-095-music-and-the-mind-of-the-world","Tony Conrad: Music and the Mind of the World (SRF-040)",2017,2015,"Website, Youtube account. ",,"​Worked - along w a massive team! - with my friend Tony to publish his INCRED Music and the Mind of the World piano piece. Can´t explain how rewarding this wz.",,"http://musicandthemindofthe.world/",,,,,,
"2015-068",,"2015-068-quickoffice","QuickOffice",2015,2015,"Samsung Galaxy Tab 3 (SM-T310), three BLU Advance 4.0 3G (A260a) cell phones, Newisland N9000 Quad Core H20 cell phone, cell phone display security devices, table, cable ties, Super Mario Clouds (2002-) & F1 Racer (2004) aka Super Landscape #1 (2005) Nintendo Entertainment System .nes Roms, Android OS Nintendo Entertainment System emulators",,"Re-staging of my old(ish) NES works on emulators running on cell phones. Actually,... re-staging of Super Landscape #1 which is Super Mario Clouds and F1 Racer smashed together into a nu work. On and on,... ",,,,,,,,"[185] [2005-021-super-landscape-1] 2005-021 Super Landscape #1
[4173] [2014-121-room-for-squares] 2014-121 Room for Squares
[4228] [2013-196-quickoffice] 2013-196 QuickOffice"
"2015-065",,"2015-065-russells-2-lakes","Russell's #2 / Lakes",2015,2015,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIF masters), media player, 70” flatscreen, armature, various cables","79 x 36.5 x 11 inches",,,,,,,,,
"2015-064",,"2015-064-vomit-lakes","Vomit / Lakes",2015,2015,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIF masters), media player, 70” flatscreen, armature, various cables","79 x 36.5 x 11 inches",,,,,,,,,
"2015-061",,"2015-061-jeans-lakes","Jeans / Lakes",2016,2016,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIFS), media player, 65–75” flatscreen, armature, various cables","Dimensions variable",,,,,,,,,
"2015-060",,"2015-060-two-clintons-four-palms-a-taurus-and-an-aeron","Two Clintons, Four Palms, a Taurus and an Aeron",2015,2015,"Pencil on paper (produced with Mutoh XP-300 Series printer)","72 x 192 inches",,,,,,,,,
"2015-056",,"2015-056-this-is-all-so-crazy-everybody-seems-so-famous-catalog","This is all so crazy, everybody seems so famous ",2015,2015,"Exhibition Catalog",,,,,,,"(Catalog)",,,
"2015-055",,"2015-055-photoshop-cs","Photoshop CS: 684 by 4600 centimeters, 10 DPC, RGB, square pixels, default gradient ""Russell's Rainbow"", mousedown y=2357 x=4633, mouseup y=4548 x=4666",2015,2015,"Carpet",,,,,,,,,,
"2015-053",,"2015-053-snowbunny-lakes","Snowbunny / Lakes",2015,2015,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from 11 lossless TIF masters), media player, 70” flatscreen, armature, various cables","79 x 36.5 x 11 inches",,,,,,,,,
"2015-047",,"2015-047-since-u-been-gone","Since U Been Gone",2015,2015,"iHome iP76 LED Color Changing Tower Stereo Speaker, Apple iPod Classic, MP3s","36 x 5 x 5 inches","OH yah, this was actually just playing the Shania Twain CD, the woman in me. ;-)",,,,,,,,"[4240] [2013-197-since-u-been-gone-music-for-stereos] 2013-197 Since U Been Gone / Music For Stereos"
"2015-038",,"2015-038-cory-arcangel-for-arcangel-surfware-for-wet-srf-021","Cory Arcangel for Arcangel Surfware for Wet (SRF-021)",2015,2015,"Heather grey crewneck pullover sweatshirt with the WWW.KANYEWET.BIZ and Arcangel Surfware logos.",,"Sweat 4 my friends Wet!",,,,,,,,
"2015-030",,"2015-030-social-network","Social Network",2015,2015,"Foam pool noodle, DVD tower, Social Network DVD, X-Men: Days of Future Past DVD, Transformers: Age of Extinction DVD, tailored Hot Topic parachute pants","140 cm x variable width x variable depth",,,,,,,,,
"2015-027",,"2015-027-fucks","Fucks",2015,2015,"Foam pool noodles, black Beats By Dre™ headphones, iPod Nano and charger, iPod Nano 7 Shocksock Reflective Sports Armband, Avicii ""Levels"" MPEG-1 Audio Layer III file player, Deadmau5 wallet chain, USB plug, Nike sweatband, large studded bracelet, Fuck sock","140 cm x variable width x variable depth",,,,,,,,,
"2015-022",,"2015-022-trust-no-bitch","Trust No Bitch",2015,2015,"Foam pool noodle, necklace, sock",,,,,,,,,,
"2015-021",,"2015-021-frozen","Frozen",2015,2015,"Foam pool noodle, eKids Di-M40FR Frozen iHome co-brand headphones, blue iPod Nano, Disney’s Frozen “Let It Go” MPEG-1 Audio Layer III file player, socks",,,,,,,,,,
"2015-015",,"2015-015-rich-forever","Rich Forever",2015,2015,"Foam pool noodle, blue Beats Solo HD On-Ear Headphones, iPod Nano and charger, iPod Nano 7 Shocksock Reflective Sports Armband, Lil Wayne Bravado wristband, Nike wristband, Rick Ross “Blowing Money Fast (Dirty)” MPEG-1 Audio Layer III file, white USB cable and plug","140 cm x variable width x variable depth",,,,,,,,,
"2015-014",,"2015-014-hot-topics","Hot Topics",2015,2015,"Foam pool noodles, socks","140 cm x variable width x variable depth",,,,,,,,,
"2015-007",,"2015-007-your-performance","Your Performance",2015,2015,"Foam noodles, tailored Adidas tracksuits","140 cm x variable width x variable depth",,,,,,,,,
"2015-006",,"2015-006-misfits","Misfits",2015,2015,"Foam pool noodles, garter belt, ear warmer, leggings,  socks, RCA 5CD changer stereo, Avenged Sevenfold ""Hail to the King"" Compact Disc","140 cm x variable width x variable depth",,,,,,,,,
"2015-005",,"2015-005-started-the-bottom","Started @ The Bottom",2015,2015,"Foam pool noodle, Drake armband","140 cm x variable width x variable depth",,,,,,,,,
"2015-004",,"2015-004-first-class","First Class",2015,2015,"Foam pool noodles, necklace, sock, armbands, sleeve jewelry ","140 cm x variable width x variable depth",,,,,,,,,
"2015-003",,"2015-003-clarity","Clarity",2015,2015,"Foam pool noodle, Beats by Dre Solo 2 headphones, arm-bracelet, Apple iPod nano, Apple iPod arm band, Zedd ""Spectrum ft. Matthew Koma ""  MPEG-1 Audio Layer III file, USB plug, power strip","140 cm x variable width x variable depth",,,,,,,,,
"2015-002",,"2015-002-leafs","Leafs",2015,2015,"Foam pool noodle, gauge earrings",,,,,,,,,,
"2015-001",,"2015-001-high-lyfe","High Lyfe",2015,2015,"Foam pool noodles, one The Broodle, sweatband, tube-socks, tailored Hooters sweatpant leg, Coors Light beer can, tailored legging","140 cm x variable width x variable depth",,,,,,,,,
"2015-001",,"2015-001-dreams","Dreams",2015,2015,"The Broodle brand foam pool noodle, foam pool noodles, Coors Light beer can, tailored Aeropostale sweatpant leg, tailored pant leg, tailored GAP sweatpant leg, American Apparel sock","140 cm x variable width x variable depth",,,,,,,,,
"2014-152",,"2014-152-photoshop-cs","Photoshop CS: 1060 by 2744 centimeters, 10 DPC, RGB, square pixels, default gradient ""Spectrum"", mousedown y=1800 x=6800, mouseup y=8800 x=20180",2015,2015,"Cromojet print on carpet","1060 x2744 cm",,,,,,,,,
"2014-146",,"2014-146-psk","PSK",2015,2014,"Roland TR-909 Rhythm Composer drum pattern, Roland TR-909 Rhythm Composer, public address sound system (variable), cables ","Variable","909 playing the PSK loop. Slam dunk.",,,,,,,,
"2014-137",,"2014-137-coming-soon","coming soon: blogs, paypal, the internet (on the work of Paper Rad)",2014,2014,"Essay",,,,,,,,"coming-soon-2014-137-scan-ih.pdf",,
"2014-135",,"2014-135-photoshop-cs","Photoshop CS: 90 by 90 centimeters, 300 DPI, RGB, square pixels, default gradient ""Russell's Rainbow"", mousedown y=6550 x=7850, mouseup y=6550 x=5850",2015,2015,"Silk scarf","90 x 90 cm",,,,,,,,,
"2014-128",,"2014-128-behavioral-targeting","Behavioral Targeting",2014,2014,"Search engine optimized institutional press release",,"​Seo’d press release for the “Darknet” show at Kunst Halle Sankt Gallen :-)",,"https://conifer.rhizome.org/cory_arcangel/behaviour-targeting/20190107022956/http://www.kunsthallesanktgallen.ch/en/exhibition/the-darknet-in-zusammenarbeit-mit-mediengruppe-bitnik-c280fb8c.html",,,,,,
"2014-125",,"2014-125-all-the-small-things","All The Small Things",2014,2014,"Exhibition Catalog",,"Published by WALTHER KöNIG, KöLN, Design by Dave Yun, Photos: Sasha Maric",,,,,"(Catalog)",,,"[4166] [2014-126-all-the-small-things-trailer] 2014 126 All The Small Things trailer
[4249] [2014-114-all-the-small-things-tshirt] 2014-114 All The Small Things Tshirt
[4250] [2014-078-all-the-small-things-edition] 2014-078 All The Small Things Edition"
"2014-121",,"2014-121-room-for-squares","Room for Squares",2014,2014,"(From left to right) Store Supply Warehouse® Maple Melamine Horizontal Slat-wall Panels, Store Supply Warehouse® Maple 12-inch Rotating Slat-wall Tower, Gaylord® Styrene Literature Holders, The Source Issue #1: Desktop Wireform (SRF-014) (2013) pamphlets, The Source Issue #2: Pizza Party (SRF-015) (2013) pamphlets, The Source Issue #3: I Shot Andy Warhol (SRF-016) (2013) pamphlets, The Source Issue #4: On and On (SRF-017) (2013) pamphlets, Gaylord® Acrylic Zigzag Slat-wall Display Pocket, Battle Studies John Mayer CD, A Father's Lullaby Nick Lachey CD, Gaylord® Jule-Art Acrylic Slat-wall Slip-in Sign-holder, Clinton (2013) (11 x 8.5 inch pencil on paper drawing), Untitled Translation Exercise (2006) (Sylvania® portable 270-degree Swivel Screen, 9.5-inch DVD player (NS969B), Sony MDR ZX-100 Headphones), black extension cords, 4-inch black slat-wall hooks, $10 Google Play gift card, $25 Facebook gift card, $25 Fandango gift card, QuickOffice (2013) (BLU® Advance 4.0 Unlocked Dual SIM cell phones, Generic Unlocked Quad-band Dual Sim Android 4.1 OS with 4.7-inch capacitive screen 3G cell phone, Samsung Galaxy Tab 3 (SM-T310) Tablet, Super Mario Clouds (2002-) & F1 Racer Mod (aka Japanese Driving Game) (2004) aka Super Landscape #1 (2005) (Nintendo Entertainment System .NES Roms, Android OS Nintendo Entertainment System Emulators, MicroUSB cables, Palay Display® Magnetic Security Device Pods), Sabrent® Multi Port USB Charger, Store Supply Warehouse® Tempered Glass Shelf, Store Supply Warehouse® 12-inch Slat-wall Shelf Brackets, Photoshop Gradient Demonstration iPhone Cases (2014) (SRF-006), Russell's / Lakes iPhone Case (2014), On Compression / Lakes iPhone Case (2014), Sports Products / Lakes iPhone Case (2014), Gaylord® Acrylic Angled Slat-wall Book Holders, The Hills―The Complete Third Season DVD box-set, Gilmore Girls—The Complete 3rd Season DVD, Wedding Planner DVD, Martin—The Complete Third Season DVD box-set, The Wedding Singer—Totally Awesome Edition DVD, Martin—The Complete Second Season DVD box-set, The Hottie and the Nottie DVD, Felicity—The Complete Fourth Season DVD box-set, Newlyweds: Nick & Jessica―The Final Season DVD box-set, Ally McBeal―The Complete Fourth Season DVD box-set, Must Love Dogs DVD, Gaylord® Acrylic Zigzag Slat-wall Display Pocket, Mission Impossible: Ghost Protocol DVD, Next DVD, Sex and the City―The Complete Second Season DVD box-set, Gaylord® Acrylic Single Display Bins, Photoshop Gradient Demonstration iPad Cases (SRF-007), Gaylord® Acrylic Angled Slat-wall Book Holder, Gaylord® Acrylic Slat-wall Expanding Paperback Holder, Separated at Birth? (2004) (Party Monster DVD, Elle Magazine―March 2004 Issue), Since U Been Gone / Music For Stereos (2014) (Sony® Speaker Dock, iPod Classic 160GB, Shania Twain The Woman in Me MPEG-1 Audio MPEG-1 Part 3 files)","Variable",,,,,,,,,"[133] [2011-140-clinton] 2011-140 Clinton
[157] [2006-002-untitled-translation-exercise] 2006-002 Untitled Translation Exercise
[185] [2005-021-super-landscape-1] 2005-021 Super Landscape #1
[2206] [2012-083-clintons] 2012-083 Clintons
[4111] [2013-117-the-source-desktop-wireform] 2013-117 The Source Issue 1 Desktop Wireform (SRF-014)
[4112] [2013-133-the-source-issue-3-i-shot-andy-warhol] 2013 133 The Source Issue 3 I Shot Andy Warhol (SRF-016)
[4113] [2013-168-the-source-issue-4-on-and-on] 2013-168 The Source Issue 4 On and On  (SRF-017)
[4114] [2013-138-the-source-pizza-party] 2013 138 The Source Issue 2 Pizza Party (SRF-015)
[4145] [2014-008-photoshop-gradient-demonstration-iphone-case-srf-006] 2014-008 Photoshop Gradient Demonstration iPhone Case (SRF-006)
[4146] [2014-009-photoshop-gradient-demonstration-ipad-case-srf-007] 2014-009 Photoshop Gradient Demonstration iPad Case (SRF-007)
[4228] [2013-196-quickoffice] 2013-196 QuickOffice
[4281] [2015-068-quickoffice] 2015-068 QuickOffice
[4304] [2016-117-dump-bin] 2016-117 Dump Bin"
"2014-114",,"2014-114-all-the-small-things-tshirt","All The Small Things",2014,2014,"Digitally Printed Tshirt",,"T made for my All The Small Things showz.",,,,,"(Tee shirt)",,,"[4166] [2014-126-all-the-small-things-trailer] 2014 126 All The Small Things (trailer)
[4168] [2014-125-all-the-small-things] 2014-125 All The Small Things (catalog)
[4250] [2014-078-all-the-small-things-edition] 2014-078 All The Small Things Edition"
"2014-110",,"2014-110-dinner-lakes","Dinner / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from​lossless Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36.5 x 11 inches",,,,,,,,,
"2014-097",,"2014-097-hillary-lakes","Hillary / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,
"2014-095",,"2014-095","Asshole #2 / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,"[4117] [2013-189-asshole-lakes] 2013-189 Asshole / Lakes"
"2014-094",,"2014-094-on-compression-lakes","On Compression / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,"[43] [2007-007-on-c] 2007-007 On C"
"2014-088",,"2014-088-going-negative-lakes","Going Negative / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from​lossless Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36.5 x 11 inches",,,,,,,,,"[4297] [2015-159-fuck-negativity-sweatpants-srf-027] 2015-159 Fuck Negativity Sweatpants (SRF-027)
[4298] [2015-158-fuck-negativity-hoodie-srf-026] 2015-158 Fuck Negativity Hoodie (SRF-026)
[4299] [2015-157-fuck-negativity-t-shirt-srf-025] 2015-157 Fuck Negativity T-Shirt (SRF-025)
[4305] [2015-164-fuck-negativity-slides-srf-032] 2015-164 Fuck Negativity Slides (SRF-032)
[4306] [2015-162-fuck-negativity-dog-tags-srf-030] 2015-162 Fuck Negativity Dog Tags (SRF-030)"
"2014-087",,"2014-087-unnamed-lakes","Unnamed / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,
"2014-086",,"2014-086-russells-lakes","Russells / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,"[80] [2011-008-photoshop-cs] 2011-008 Photoshop CS
[108] [2011-092-whitney-brochure] 2011-092 Whitney Brochure
[141] [2010-044-photoshop-cs] 2010-044 Photoshop CS"
"2014-085",,"2014-085-sports-products-lakes","Sports Products / Lakes",2014,2014,"1920x1080 H.264/MPEG-4 Part 10 looped digital file (from ​lossless ​Quicktime Animation master), media player, 70” flatscreen, armature, various cables","79 x 36 1/2 x 11 inches",,,,,,,,,"[118] [2011-024-sports-products] 2011-024 Sports Products
[144] [2010-076-sports-products] 2010-076 Sports Products
[145] [2010-077-sports-products] 2010-077 Sports Products
[146] [2010-078-sports-products] 2010-078 Sports Products"
"2014-080",,"2014-080-photoshop-cs","Photoshop CS: 40 by 30 inches, 300 DPI, RGB, square pixels, default gradient ""Spectrum"", mousedown y=6000 x=8000, mouseup y=6000 x=1000; tool ""Wand"", select y=3650, x=1250, tolerance=60, contiguous= off; default gradient ""Spectrum"", mousedown y=1000 x=1000, mouseup y=1100 x=1000",2014,2014,"Chromogenic print","40in x 40in",,,,,,,,,
"2014-079",,"2014-079-photoshop-cs","Photoshop CS: 50 by 50 inches, 300 DPI, RGB, square pixels, default gradient ""Spectrum"", mousedown y=3000 x=650, mouseup y=3000 x=4525; tool ""Wand"", select y=4680, x=4425, tolerance=60, contiguous= off; default gradient ""Spectrum"", mousedown y=14000 x=8225, mouseup y=650 x=8225",2014,2014,"Chromogenic print","50in x 50in ",,,,,,,,,
